Condition ID Values,Definitions for Your Category,Category ID,Category Path
"nicht zutreffend",,157119,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Flaschen & Gefäße"
"nicht zutreffend",,157120,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Instrumente"
"nicht zutreffend",,168694,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Lehrmaterialien"
"nicht zutreffend",,168695,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Praxisausstattung"
"nicht zutreffend",,157121,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Taschen"
"nicht zutreffend",,81915,"Antiquitäten & Kunst > Alte Berufe > Arzt & Apotheker > Sonstige"
"nicht zutreffend",,168696,"Antiquitäten & Kunst > Alte Berufe > Bäcker & Konditor > Bäckereiausstattung"
"nicht zutreffend",,167044,"Antiquitäten & Kunst > Alte Berufe > Bäcker & Konditor > Formen"
"nicht zutreffend",,167045,"Antiquitäten & Kunst > Alte Berufe > Bäcker & Konditor > Schüsseln & Tröge"
"nicht zutreffend",,167046,"Antiquitäten & Kunst > Alte Berufe > Bäcker & Konditor > Werkzeug"
"nicht zutreffend",,64541,"Antiquitäten & Kunst > Alte Berufe > Bäcker & Konditor > Sonstige"
"nicht zutreffend",,68180,"Antiquitäten & Kunst > Alte Berufe > Bauer > Gefäße"
"nicht zutreffend",,86146,"Antiquitäten & Kunst > Alte Berufe > Bauer > Geräte"
"nicht zutreffend",,68181,"Antiquitäten & Kunst > Alte Berufe > Bauer > Werkzeuge"
"nicht zutreffend",,19351,"Antiquitäten & Kunst > Alte Berufe > Bauer > Sonstige"
"nicht zutreffend",,167048,"Antiquitäten & Kunst > Alte Berufe > Bergbau > Lampen"
"nicht zutreffend",,167049,"Antiquitäten & Kunst > Alte Berufe > Bergbau > Uniformen"
"nicht zutreffend",,167050,"Antiquitäten & Kunst > Alte Berufe > Bergbau > Werkzeug"
"nicht zutreffend",,78366,"Antiquitäten & Kunst > Alte Berufe > Bergbau > Sonstige"
"nicht zutreffend",,92921,"Antiquitäten & Kunst > Alte Berufe > Brauer & Mälzer"
"nicht zutreffend",,167052,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Buchbinder"
"nicht zutreffend",,167053,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Papierschneider"
"nicht zutreffend",,167054,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Pressen"
"nicht zutreffend",,167055,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Setzkästen"
"nicht zutreffend",,167056,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Stempel"
"nicht zutreffend",,167057,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Werkzeug"
"nicht zutreffend",,78367,"Antiquitäten & Kunst > Alte Berufe > Buchdrucker & Buchbinder > Sonstige"
"nicht zutreffend",,167058,"Antiquitäten & Kunst > Alte Berufe > Feuerwehrmann"
"nicht zutreffend",,92922,"Antiquitäten & Kunst > Alte Berufe > Fischer"
"nicht zutreffend",,168698,"Antiquitäten & Kunst > Alte Berufe > Frisör & Barbier > Scheren"
"nicht zutreffend",,168699,"Antiquitäten & Kunst > Alte Berufe > Frisör & Barbier > Rasiermesser"
"nicht zutreffend",,168700,"Antiquitäten & Kunst > Alte Berufe > Frisör & Barbier > Zubehör"
"nicht zutreffend",,78368,"Antiquitäten & Kunst > Alte Berufe > Frisör & Barbier > Sonstige"
"nicht zutreffend",,167059,"Antiquitäten & Kunst > Alte Berufe > Gärtner"
"nicht zutreffend",,81916,"Antiquitäten & Kunst > Alte Berufe > Gastwirt"
"nicht zutreffend",,167060,"Antiquitäten & Kunst > Alte Berufe > Goldschmied"
"nicht zutreffend",,167061,"Antiquitäten & Kunst > Alte Berufe > Hutmacher"
"nicht zutreffend",,167062,"Antiquitäten & Kunst > Alte Berufe > Imker"
"nicht zutreffend",,86152,"Antiquitäten & Kunst > Alte Berufe > Jäger & Waidmann"
"nicht zutreffend",,157122,"Antiquitäten & Kunst > Alte Berufe > Kaufleute & Krämer > Gewichte"
"nicht zutreffend",,86149,"Antiquitäten & Kunst > Alte Berufe > Kaufleute & Krämer > Kassen"
"nicht zutreffend",,19368,"Antiquitäten & Kunst > Alte Berufe > Kaufleute & Krämer > Waagen"
"nicht zutreffend",,86150,"Antiquitäten & Kunst > Alte Berufe > Kaufleute & Krämer > Sonstige"
"nicht zutreffend",,167063,"Antiquitäten & Kunst > Alte Berufe > Korbmacher"
"nicht zutreffend",,167064,"Antiquitäten & Kunst > Alte Berufe > Lokführer & Schaffner"
"nicht zutreffend",,78369,"Antiquitäten & Kunst > Alte Berufe > Maler"
"nicht zutreffend",,64542,"Antiquitäten & Kunst > Alte Berufe > Maurer"
"nicht zutreffend",,64543,"Antiquitäten & Kunst > Alte Berufe > Metzger & Fleischer"
"nicht zutreffend",,92923,"Antiquitäten & Kunst > Alte Berufe > Müller"
"nicht zutreffend",,33169,"Antiquitäten & Kunst > Alte Berufe > Optiker > Brillen"
"nicht zutreffend",,25769,"Antiquitäten & Kunst > Alte Berufe > Optiker > Ferngläser"
"nicht zutreffend",,33170,"Antiquitäten & Kunst > Alte Berufe > Optiker > Lupen"
"nicht zutreffend",,25770,"Antiquitäten & Kunst > Alte Berufe > Optiker > Mikroskope"
"nicht zutreffend",,25771,"Antiquitäten & Kunst > Alte Berufe > Optiker > Teleskope"
"nicht zutreffend",,19365,"Antiquitäten & Kunst > Alte Berufe > Optiker > Sonstige"
"nicht zutreffend",,169005,"Antiquitäten & Kunst > Alte Berufe > Sattler > Lochzangen"
"nicht zutreffend",,169006,"Antiquitäten & Kunst > Alte Berufe > Sattler > Messer"
"nicht zutreffend",,169007,"Antiquitäten & Kunst > Alte Berufe > Sattler > Muster & Bücher"
"nicht zutreffend",,169008,"Antiquitäten & Kunst > Alte Berufe > Sattler > Stanzeisen"
"nicht zutreffend",,64544,"Antiquitäten & Kunst > Alte Berufe > Sattler > Sonstige"
"nicht zutreffend",,167066,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Eisenwaren"
"nicht zutreffend",,167067,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Maschinen"
"nicht zutreffend",,167068,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Werkzeug"
"nicht zutreffend",,64545,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Sonstige"
"nicht zutreffend",,167069,"Antiquitäten & Kunst > Alte Berufe > Schmied"
"nicht zutreffend",,169010,"Antiquitäten & Kunst > Alte Berufe > Schneider > Bügeleisen"
"nicht zutreffend",,169011,"Antiquitäten & Kunst > Alte Berufe > Schneider > Nähmaschinen"
"nicht zutreffend",,169012,"Antiquitäten & Kunst > Alte Berufe > Schneider > Werkzeuge"
"nicht zutreffend",,86151,"Antiquitäten & Kunst > Alte Berufe > Schneider > Sonstige"
"nicht zutreffend",,160049,"Antiquitäten & Kunst > Alte Berufe > Schornsteinfeger & Kaminkehrer"
"nicht zutreffend",,78370,"Antiquitäten & Kunst > Alte Berufe > Schuster"
"nicht zutreffend",,167070,"Antiquitäten & Kunst > Alte Berufe > Spinner"
"nicht zutreffend",,166313,"Antiquitäten & Kunst > Alte Berufe > Stellmacher"
"nicht zutreffend",,78371,"Antiquitäten & Kunst > Alte Berufe > Uhrmacher"
"nicht zutreffend",,167071,"Antiquitäten & Kunst > Alte Berufe > Weber"
"nicht zutreffend",,169014,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Bohrer"
"nicht zutreffend",,169015,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Hammer"
"nicht zutreffend",,169016,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Hobel"
"nicht zutreffend",,169017,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Sägen"
"nicht zutreffend",,169018,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Schraubzwingen"
"nicht zutreffend",,169019,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Zangen"
"nicht zutreffend",,64546,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Sonstige"
"nicht zutreffend",,19367,"Antiquitäten & Kunst > Alte Berufe > Sonstige"
"nicht zutreffend",,27464,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Baden-Württemberg"
"nicht zutreffend",,27465,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Bayern"
"nicht zutreffend",,27466,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Berlin"
"nicht zutreffend",,27467,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Brandenburg"
"nicht zutreffend",,27468,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Bremen"
"nicht zutreffend",,27469,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Hamburg"
"nicht zutreffend",,27470,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Hessen"
"nicht zutreffend",,27471,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Mecklenburg-Vorpommern"
"nicht zutreffend",,27472,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Niedersachsen"
"nicht zutreffend",,27473,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Nordrhein-Westfalen"
"nicht zutreffend",,33141,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Rheinland-Pfalz"
"nicht zutreffend",,27474,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Saarland"
"nicht zutreffend",,27475,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Sachsen"
"nicht zutreffend",,27476,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Sachsen-Anhalt"
"nicht zutreffend",,27477,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Schleswig-Holstein"
"nicht zutreffend",,27478,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Thüringen"
"nicht zutreffend",,27482,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Baltikum & Posen"
