Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
7-teiliges-rpg-wurfelset-metall-amulet-dragon-1,7-teiliges RPG Würfelset Metall: Amulet Dragon,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Farbe:</strong> Bronze</p>
<p data-mce-fragment=""1""><strong>Beschreibung:</strong> Amulett im Taschenuhr-Stil mit Mini Metall-Würfelset</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Ziffernfarbe: </strong>Bronze</p>
<p data-mce-fragment=""1""><strong>Lieferumfang:</strong><span data-mce-fragment=""1""> </span>7 Würfel</p>",dice4friends,Toys & Games > Games > Dice Sets & Games,Würfel,"7 würfel, brettspiel, d&d, das schwarze auge, das schwarze auge brettspiel, dice, dnd würfel, dnd würfel set, dnd würfelset, dungeons & dragons, dungeons & dragons einsteigerset, dungeons and dragons, dungeons und dragons, fantasy, fantasy rollenspiel, metall, mittelalter rollenspiel, pen & paper würfel, rollenspiel, rollenspiel brettspiel, rollenspiele games, rpg metall, rpg spiele, rpg würfel, RPG-Set, sale, spielwürfel, warhammer40k, Würfel, würfel d&d, würfel kaufen, würfelset, würfelset 7, würfelset d&d, würfelset rollenspiele, würfelset warhammer",false,Title,Default Title,,,,,,,,DIC18056,170.0,shopify,2,deny,manual,24.95,,true,true,'0647056180562,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_4a02a9bd-6c16-4920-8c8d-07defadb7a54.png?v=1750267918,1,"",false,,"Die Würfel werden in einer hochwertigen und robusten Qualität hergestellt und zeichnen sich durch klare Kanten, einer farblich abgestimmten Zifferndarstellung und einer langlebigen, hervorragenden Bespielbarkeit aus.",,,,,,,,,,,,,,g,,,draft
7-teiliges-rpg-wurfelset-metall-amulet-dragon-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_46976c9b-9d7d-4296-8328-bcab5b25c99f.png?v=1750267917,2,"",,,,,,,,,,,,,,,,,,,,
7-teiliges-rpg-wurfelset-metall-amulet-cthulhu,7-teiliges RPG Würfelset Metall: Amulet Cthulhu,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Farbe:</strong> Bronze</p>
<p data-mce-fragment=""1""><strong>Beschreibung:</strong> Amulett im Taschenuhr-Stil mit Mini Metall-Würfelset</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Ziffernfarbe: </strong>Bronze</p>
<p data-mce-fragment=""1""><strong>Lieferumfang:</strong><span data-mce-fragment=""1""> </span>7 Würfel</p>",dice4friends,Toys & Games > Games > Dice Sets & Games,Würfel,"7 würfel, brettspiel, d&d, das schwarze auge, das schwarze auge brettspiel, dice, dnd würfel, dnd würfel set, dnd würfelset, dungeons & dragons, dungeons & dragons einsteigerset, dungeons and dragons, dungeons und dragons, fantasy, fantasy rollenspiel, metall, mittelalter rollenspiel, pen & paper würfel, rollenspiel, rollenspiel brettspiel, rollenspiele games, rpg metall, rpg spiele, rpg würfel, RPG-Set, sale, spielwürfel, warhammer40k, Würfel, würfel d&d, würfel kaufen, würfelset, würfelset 7, würfelset d&d, würfelset rollenspiele, würfelset warhammer",true,Title,Default Title,,,,,,,,DIC18058,170.0,shopify,2,deny,manual,24.95,,true,true,'0647056180586,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_31fd26f7-a857-4a4c-9d42-238480281620.png?v=1750267918,1,"",false,,"Die Würfel werden in einer hochwertigen und robusten Qualität hergestellt und zeichnen sich durch klare Kanten, einer farblich abgestimmten Zifferndarstellung und einer langlebigen, hervorragenden Bespielbarkeit aus.",,,,,,,,,,,,,,g,,,active
7-teiliges-rpg-wurfelset-metall-amulet-cthulhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_c3735e7b-b8d9-4237-9ecf-f915d39c617a.png?v=1750267918,2,"",,,,,,,,,,,,,,,,,,,,
7-teiliges-rpg-wurfelset-metall-amulet-gear,7-teiliges RPG Würfelset Metall: Amulet Gear,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Farbe:</strong> Bronze</p>
<p data-mce-fragment=""1""><strong>Beschreibung:</strong> Amulett im Taschenuhr-Stil mit Mini Metall-Würfelset</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Ziffernfarbe: </strong>Bronze</p>
<p data-mce-fragment=""1""><strong>Lieferumfang:</strong><span data-mce-fragment=""1""> </span>7 Würfel</p>",dice4friends,Toys & Games > Games > Dice Sets & Games,Würfel,"7 würfel, brettspiel, d&d, das schwarze auge, das schwarze auge brettspiel, dice, dnd würfel, dnd würfel set, dnd würfelset, dungeons & dragons, dungeons & dragons einsteigerset, dungeons and dragons, dungeons und dragons, fantasy, fantasy rollenspiel, metall, mittelalter rollenspiel, pen & paper würfel, rollenspiel, rollenspiel brettspiel, rollenspiele games, rpg metall, rpg spiele, rpg würfel, RPG-Set, sale, spielwürfel, warhammer40k, Würfel, würfel d&d, würfel kaufen, würfelset, würfelset 7, würfelset d&d, würfelset rollenspiele, würfelset warhammer",false,Title,Default Title,,,,,,,,DIC18057,170.0,shopify,2,deny,manual,24.95,,true,true,'0647056180579,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/PhotoRoom-20250429_142000.png?v=1750265560,1,"",false,,"Die Würfel werden in einer hochwertigen und robusten Qualität hergestellt und zeichnen sich durch klare Kanten, einer farblich abgestimmten Zifferndarstellung und einer langlebigen, hervorragenden Bespielbarkeit aus.",,,,,,,,,,,,,,g,,,draft
7-teiliges-rpg-wurfelset-metall-amulet-gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/MetallAmuletGearDice.png?v=1750265560,2,"",,,,,,,,,,,,,,,,,,,,
dorfromantik-fachhandels-exklusiv,Dorfromantik *Fachhandels-exklusiv*,"<h4 class=""product--title"">Dorfromantik *Fachhandels-exklusiv* inkl. Mini-Erweiterungen Mühle+Wetterau</h4>
<p>Plätschernde Flüsse, rauschende Wälder, sich im Wind wiegende Weizenfelder und hier und da ein schnuckeliges, kleines Örtchen – das ist <i>Dorfromantik</i>! Das Videospiel des kleinen Entwicklerstudios Toukana Interactive begeistert seit dem Early Access im März 2021 die Gaming Community und heimste schon allerlei namhafte Preise ein. Nun verwandeln Michael Palm und Lukas Zach das populäre Aufbaustrategie- und Puzzlespiel in ein Familienspiel für Groß und Klein mit <b>Dorfromantik – Das Brettspiel</b>.<br><br>In <b>Dorfromantik – Das Brettspiel</b> legen bis zu sechs Spielende gemeinsam sechseckige Plättchen zu einer wunderschönen Landschaft zusammen und versuchen dabei, die Aufträge der Bevölkerung zu er-füllen, zugleich ein möglichst langes Gleis und einen möglichst langen Fluss zu legen, aber auch die Fahnen zu berücksichtigen, die in abgeschlossenen Arealen für Punkte sorgen. Je besser dies den Spielenden gelingt, umso mehr Punkte können sie am Schluss erreichen. Im Verlauf der wiederspielbaren Kampagne können mit den erzielten Punkten neue Plättchen freigespielt werden, die sich in zunächst verschlossenen Schachteln verbergen. Diese stellen den Spielenden neue, zusätzliche Aufgaben und ermöglichen es, den Highscore immer weiter nach oben zu schrauben.<br><br>Die <b>Dorfromantik – Das Brettspiel</b> Fachhandelsausgabe enthält neben dem Grundspiel auch die Mini-Erweiterungen <i>Die große Mühle</i> sowie die <i>Wetterau</i> Mini-Erweiterung.</p>",dice4friends,Toys & Games > Games > Card Games,Spiele,"Brettspiele, Brettspiele-Co, Familienspiele, fantasy, fantasy rollenspiel, Kartenspiel, Partyspiel, Pegasus Spiele, rollenspiel, rollenspiel brettspiel, rollenspiele games",true,Title,Default Title,,,,,,,,,1500.0,shopify,3,deny,manual,39.99,,true,true,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_1704537b-8c25-4449-b864-ab81b220ca92.png?v=1746471017,1,"",false,,,,,,,,,,,,,,,,g,,,active
dorfromantik-fachhandels-exklusiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_32b83219-b1a6-4b7a-b7b4-5307fd041b1d.png?v=1746471018,2,"",,,,,,,,,,,,,,,,,,,,
dorfromantik-fachhandels-exklusiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/rn-image_picker_lib_temp_303dac3d-539b-41c4-ae9c-9d9920f8d260.png?v=1746471017,3,"",,,,,,,,,,,,,,,,,,,,
hitster-guilty-pleasures,Hitster – Guilty Pleasures,"<p>Die Party geht weiter – mit „HITSTER – Guilty Pleasures“! Das lustigste Partyspiel präsentiert sich hier in einer neuen Variante: Es geht um die gewagtesten Hits der vergangenen Jahrzehnte. Stellt schamlos eure Zeitleiste zusammen. Denn mal ehrlich: Jeder kann diese skandalösen Songs insgeheim mitsingen, oder?<br>Einfache Regeln – und man muss kein Musikexperte sein! Ratet einfach, ob ein bestimmter Titel vor oder nach einem anderen Hit herauskam. (Der typische Klang eines Jahrzehnts gibt da bereits einen Hinweis.)<br>300 der größten Hits sorgen sofort bei allen für Party-Stimmung – garantiert!<br>3 verschiedene Schwierigkeitsstufen für lang anhaltenden Spielspaß</p>",dice4friends,Toys & Games > Games > Card Games,Spiele,"Brettspiele, Brettspiele-Co, Familienspiele, fantasy, fantasy rollenspiel, Kartenspiel, Partyspiel, Pegasus Spiele, rollenspiel, rollenspiel brettspiel, rollenspiele games",true,Title,Default Title,,,,,,,,,700.0,shopify,2,deny,manual,26.99,,true,true,,https://cdn.shopify.com/s/files/1/0659/7699/1958/files/8721017600336_web.jpg?v=1746470485,1,"",false,,,,,,,,,,,,,,,,g,,,active
